"","year","Country","WBCode","wbcode2","gdp1","gdp2","lngdp1","lngdp2","gdpmad","lngdpmad","gdpmadlag","lngdpmadlag","gdpmadlag2","lngdpmadlag2","gdpmadlag3","lngdpmadlag3","gdpmadlag4","lngdpmadlag4","pop","lnpop","IMR_5yr","rgdpl","rgdpl2","rgdpch","kc","kg","ki","openk","gdppwt","gdppwtlag","lngdppwtlag","gdppwtlag2","lngdppwtlag2","gdppwtlag3","lngdppwtlag3","gdppwtlag4","lngdppwtlag4","lngdpavglag","lngdpavglag2","lngdpavglag3","lngdpavglag4","lngdppwt","lngdpavg","cont_dem_ind","civwar","civwarend","pwt_pop","pwt_rgdppc1","pwt_rgdppc2","pwt_rgdppc3","pwt_xrate","pwt_rgdincome","pwt_open","pwt_investment","pwt_pop_lag1","pwt_rgdppc1_lag1","pwt_rgdppc2_lag1","pwt_rgdppc3_lag1","pwt_xrate_lag1","pwt_rgdincome_lag1","pwt_open_lag1","pwt_investment_lag1","pwt_pop_lag2","pwt_rgdppc1_lag2","pwt_rgdppc2_lag2","pwt_rgdppc3_lag2","pwt_xrate_lag2","pwt_rgdincome_lag2","pwt_open_lag2","pwt_investment_lag2","pwt_pop_lag3","pwt_rgdppc1_lag3","pwt_rgdppc2_lag3","pwt_rgdppc3_lag3","pwt_xrate_lag3","pwt_rgdincome_lag3","pwt_open_lag3","pwt_investment_lag3","civwar_lag","civwarend_lag","exports","imports","exports_lag1","imports_lag1","exports_lag2","imports_lag2","imfadj","imfpov","wbank","imfadj_lag1","wbank_lag1","imfadj_lag2","wbank_lag2","imfpov_lag1","imfpov_lag2","dem","dem_ind","eximdiff","eximdiff_lag1","eximdiff_lag2","pwt_xrate_lag4","pwt_xrate_lag5"
"1009",1983,"Swaziland","SWZ",150,925.9016,1174.648,6.830768,7.068724,2474,7.81359155295243,2548,7.84306401669205,2481,7.8164169836918,2397,7.78197323443438,2421,7.79193595693806,673,6.51174532964473,112.2,"2794.729571",2679.352758,2798.969625,61.79560435,4.403978474,66.7472932,127.9821136,2794.729571,2509.545269,7.82785684798389,2539.621254,7.83977023629577,2452.48617,7.80485755227989,2558.901674,7.84733341181861,7.83546043233797,7.82809360999378,7.79341539335714,7.81963468437834,7.93549062634646,7.87454108964945,1,0,0,6.51128460094012,8.37811501544954,8.36278947981247,8.38132535737985,0.104360916224738,8.37811501544954,5.02401209771598,2.97143963221445,6.476818506439,8.37311494742927,8.37448611662305,8.37674421331607,0.0861786136718242,8.37311494742927,5.08506226917266,3.0796138035117,6.44778118695761,8.41088778526774,8.39893204170654,8.41425640304587,-0.127832235146894,8.41088778526774,5.22585420019009,3.04070568699787,6.41583318727084,8.39536900150921,8.37236624376095,8.39768642120769,-0.248460077248039,8.39536900150921,5.1256292646648,2.99122216830212,0,0,3.96593055512107,3.50859314301667,3.91179742541889,3.56063617109897,4.03208129699759,3.73799108309849,0,0,0,0,0,0,0,0,0,0,0,0.457337412104398,0.351161254319921,0.294090213899097,-0.174352196669296,-0.139260917908881
"1010",1984,"Swaziland","SWZ",150,954.0262,1210.329,6.860691,7.098647,2437,7.79852305362521,2474,7.81359155295243,2548,7.84306401669205,2481,7.8164169836918,2397,7.78197323443438,697,6.54678541076052,109.4,"2958.22242",2852.284388,2959.398337,64.09744493,4.553999791,59.2266075,102.1032945,2958.22242,2794.729571,7.93549062634646,2509.545269,7.82785684798389,2539.621254,7.83977023629577,2452.48617,7.80485755227989,7.87454108964945,7.83546043233797,7.82809360999378,7.79341539335714,7.99234383314168,7.89543344338345,1,0,0,6.54659888116984,8.40434918885557,8.40932509016974,8.40775102402863,0.392042763451471,8.40434918885557,4.93483358787163,3.09693419925049,6.51128460094012,8.37811501544954,8.36278947981247,8.38132535737985,0.104360916224738,8.37811501544954,5.02401209771598,2.97143963221445,6.476818506439,8.37311494742927,8.37448611662305,8.37674421331607,0.0861786136718242,8.37311494742927,5.08506226917266,3.0796138035117,6.44778118695761,8.41088778526774,8.39893204170654,8.41425640304587,-0.127832235146894,8.41088778526774,5.22585420019009,3.04070568699787,0,0,3.74557728120551,3.23219043156401,3.96593055512107,3.50859314301667,3.91179742541889,3.56063617109897,0,0,0,0,0,0,0,0,0,0,0,0.513386849641499,0.457337412104398,0.351161254319921,-0.248460077248039,-0.174352196669296
"1011",1985,"Swaziland","SWZ",150,959.8793,1217.754,6.866807,7.104764,2497,7.82284529027977,2437,7.79852305362521,2474,7.81359155295243,2548,7.84306401669205,2481,7.8164169836918,722,6.58202513889283,106.8,"2897.169223",2817.340886,2892.47936,66.84088096,4.802211645,48.49485224,76.80571161,2897.169223,2958.22242,7.99234383314168,2794.729571,7.93549062634646,2509.545269,7.82785684798389,2539.621254,7.83977023629577,7.89543344338345,7.87454108964945,7.83546043233797,7.82809360999378,7.97148940924942,7.8971673497646,1,0,0,6.5826482148238,8.51810277781708,8.48323922478071,8.52157557493073,0.797507646334537,8.51810277781708,4.94142812107694,2.79667145376855,6.54659888116984,8.40434918885557,8.40932509016974,8.40775102402863,0.392042763451471,8.40434918885557,4.93483358787163,3.09693419925049,6.51128460094012,8.37811501544954,8.36278947981247,8.38132535737985,0.104360916224738,8.37811501544954,5.02401209771598,2.97143963221445,6.476818506439,8.37311494742927,8.37448611662305,8.37674421331607,0.0861786136718242,8.37311494742927,5.08506226917266,3.0796138035117,0,0,3.40924726624639,2.98092993825891,3.74557728120551,3.23219043156401,3.96593055512107,3.50859314301667,0,0,0,0,0,0,0,0,0,0,0,0.42831732798748,0.513386849641499,0.457337412104398,-0.127832235146894,-0.248460077248039
"1012",1986,"Swaziland","SWZ",150,1044.845,1325.546,6.951623,7.189579,2494,7.82164312623998,2497,7.82284529027977,2437,7.79852305362521,2474,7.81359155295243,2548,7.84306401669205,751,6.62140565176413,104.3,"3023.363325",2972.589836,3022.287752,57.62787195,5.521053363,45.43738372,74.85780592,3023.363325,2897.169223,7.97148940924942,2958.22242,7.99234383314168,2794.729571,7.93549062634646,2509.545269,7.82785684798389,7.8971673497646,7.89543344338345,7.87454108964945,7.83546043233797,8.01412517445802,7.917884150349,1,0,0,6.6210194267228,8.55056800458288,8.52321104794058,8.55401487554537,0.828552254247276,8.55056800458288,4.98086314263072,2.55334388916224,6.5826482148238,8.51810277781708,8.48323922478071,8.52157557493073,0.797507646334537,8.51810277781708,4.94142812107694,2.79667145376855,6.54659888116984,8.40434918885557,8.40932509016974,8.40775102402863,0.392042763451471,8.40434918885557,4.93483358787163,3.09693419925049,6.51128460094012,8.37811501544954,8.36278947981247,8.38132535737985,0.104360916224738,8.37811501544954,5.02401209771598,2.97143963221445,0,0,3.51740858373735,3.41812189206887,3.40924726624639,2.98092993825891,3.74557728120551,3.23219043156401,0,0,0,0,0,0,0,0,0,0,0,0.0992866916684769,0.42831732798748,0.513386849641499,0.0861786136718242,-0.127832235146894
"1013",1987,"Swaziland","SWZ",150,1161.289,1473.273,7.057285,7.295242,2607,7.8659554139335,2494,7.82164312623998,2497,7.82284529027977,2437,7.79852305362521,2474,7.81359155295243,779,6.65801104587075,101.9,"3522.836135",3447.089854,3526.941061,51.5084567,4.634947053,46.83584541,77.10788282,3522.836135,3023.363325,8.01412517445802,2897.169223,7.97148940924942,2958.22242,7.99234383314168,2794.729571,7.93549062634646,7.917884150349,7.8971673497646,7.89543344338345,7.87454108964945,8.16702166434435,8.01648853913893,1,0,0,6.65846024021818,8.64340284558631,8.60008660138956,8.64625812441884,0.712950298052083,8.64340284558631,5.04902233291656,2.26384436862771,6.6210194267228,8.55056800458288,8.52321104794058,8.55401487554537,0.828552254247276,8.55056800458288,4.98086314263072,2.55334388916224,6.5826482148238,8.51810277781708,8.48323922478071,8.52157557493073,0.797507646334537,8.51810277781708,4.94142812107694,2.79667145376855,6.54659888116984,8.40434918885557,8.40932509016974,8.40775102402863,0.392042763451471,8.40434918885557,4.93483358787163,3.09693419925049,0,0,3.73137564921156,3.84420775815168,3.51740858373735,3.41812189206887,3.40924726624639,2.98092993825891,0,0,0,0,0,0,0,0,0,0,0,-0.112832108940117,0.0992866916684769,0.42831732798748,0.104360916224738,0.0861786136718242
"1014",1988,"Swaziland","SWZ",150,1200.87,1523.488,7.090802,7.328758,2429,7.79523492900217,2607,7.8659554139335,2494,7.82164312623998,2497,7.82284529027977,2437,7.79852305362521,817,6.70563909486,99.8,"3591.336315",3509.46967,3611.999832,46.31084804,4.951417398,54.61422196,77.09330142,3591.336315,3522.836135,8.16702166434435,3023.363325,8.01412517445802,2897.169223,7.97148940924942,2958.22242,7.99234383314168,8.01648853913893,7.917884150349,7.8971673497646,7.89543344338345,8.18627964481149,7.99075728690683,1,0,0,6.70574924913551,8.63141255156176,8.61141550716552,8.63395882097941,0.819780272021849,8.63141255156176,5.06695261987635,2.75366077604853,6.65846024021818,8.64340284558631,8.60008660138956,8.64625812441884,0.712950298052083,8.64340284558631,5.04902233291656,2.26384436862771,6.6210194267228,8.55056800458288,8.52321104794058,8.55401487554537,0.828552254247276,8.55056800458288,4.98086314263072,2.55334388916224,6.5826482148238,8.51810277781708,8.48323922478071,8.52157557493073,0.797507646334537,8.51810277781708,4.94142812107694,2.79667145376855,0,0,3.88773955685531,3.92517051922678,3.73137564921156,3.84420775815168,3.51740858373735,3.41812189206887,0,0,0,0,0,0,0,0,0,0,0,-0.0374309623714701,-0.112832108940117,0.0992866916684769,0.392042763451471,0.104360916224738
"1015",1989,"Swaziland","SWZ",150,1270.09,1611.304,7.146843,7.384799,2478,7.81520706218909,2429,7.79523492900217,2607,7.8659554139335,2494,7.82164312623998,2497,7.82284529027977,852,6.74758652682932,97.8,"3687.83893",3605.801766,3706.612231,46.57965581,4.895859023,53.1501723,75.86639466,3687.83893,3591.336315,8.18627964481149,3522.836135,8.16702166434435,3023.363325,8.01412517445802,2897.169223,7.97148940924942,7.99075728690683,8.01648853913893,7.917884150349,7.8971673497646,8.21279590964465,8.01400148591687,1,0,0,6.74746915022264,8.65903818030801,8.64000356896353,8.66153766160608,0.963174699452322,8.65903818030801,5.17439679028819,2.79116516916241,6.70574924913551,8.63141255156176,8.61141550716552,8.63395882097941,0.819780272021849,8.63141255156176,5.06695261987635,2.75366077604853,6.65846024021818,8.64340284558631,8.60008660138956,8.64625812441884,0.712950298052083,8.64340284558631,5.04902233291656,2.26384436862771,6.6210194267228,8.55056800458288,8.52321104794058,8.55401487554537,0.828552254247276,8.55056800458288,4.98086314263072,2.55334388916224,0,0,4.02389380817812,4.00609111236287,3.88773955685531,3.92517051922678,3.73137564921156,3.84420775815168,0,0,0,0,0,0,0,0,0,0,0,0.017802695815254,-0.0374309623714701,-0.112832108940117,0.797507646334537,0.392042763451471
"1016",1990,"Swaziland","SWZ",150,1336.318,1695.325,7.197673,7.435629,2435,7.79770203551669,2478,7.81520706218909,2429,7.79523492900217,2607,7.8659554139335,2494,7.82164312623998,885,6.78558764500793,96.1,"3561.527308",3487.573892,3568.259693,52.24145879,5.259387407,51.46594798,81.69587841,3561.527308,3687.83893,8.21279590964465,3591.336315,8.18627964481149,3522.836135,8.16702166434435,3023.363325,8.01412517445802,8.01400148591687,7.99075728690683,8.01648853913893,7.917884150349,8.17794475094482,7.98782339323075,1,0,0,6.78515817539793,8.73613753856066,8.70856698629479,8.73915684708727,0.951658261811758,8.73613753856066,5.047095797527,2.55567579831596,6.74746915022264,8.65903818030801,8.64000356896353,8.66153766160608,0.963174699452322,8.65903818030801,5.17439679028819,2.79116516916241,6.70574924913551,8.63141255156176,8.61141550716552,8.63395882097941,0.819780272021849,8.63141255156176,5.06695261987635,2.75366077604853,6.65846024021818,8.64340284558631,8.60008660138956,8.64625812441884,0.712950298052083,8.64340284558631,5.04902233291656,2.26384436862771,0,0,4.14993778997935,4.1150706269582,4.02389380817812,4.00609111236287,3.88773955685531,3.92517051922678,0,0,0,0,0,0,0,0,0,0,0,0.0348671630211541,0.017802695815254,-0.0374309623714701,0.828552254247276,0.797507646334537
"1017",1991,"Swaziland","SWZ",150,1329.025,1686.072,7.192201,7.430157,2385,7.77695440332244,2435,7.79770203551669,2478,7.81520706218909,2429,7.79523492900217,2607,7.8659554139335,926,6.83087423464618,95,"3517.059412",3445.09084,3523.300024,53.02350418,5.408644259,52.05970775,84.71186039,3517.059412,3561.527308,8.17794475094482,3687.83893,8.21279590964465,3591.336315,8.18627964481149,3522.836135,8.16702166434435,7.98782339323075,8.01400148591687,7.99075728690683,8.01648853913893,8.16538052513767,7.97116746423006,1,0,0,6.8305718141917,8.70147615688994,8.67825195556126,8.7043812211987,1.01523104204783,8.70147615688994,5.14213128920393,2.63044902712477,6.78515817539793,8.73613753856066,8.70856698629479,8.73915684708727,0.951658261811758,8.73613753856066,5.047095797527,2.55567579831596,6.74746915022264,8.65903818030801,8.64000356896353,8.66153766160608,0.963174699452322,8.65903818030801,5.17439679028819,2.79116516916241,6.70574924913551,8.63141255156176,8.61141550716552,8.63395882097941,0.819780272021849,8.63141255156176,5.06695261987635,2.75366077604853,0,0,4.22443335524308,4.17374962767273,4.14993778997935,4.1150706269582,4.02389380817812,4.00609111236287,0,0,0,0,0,0,0,0,0,0,0,0.0506837275703536,0.0348671630211541,0.017802695815254,0.712950298052083,0.828552254247276
"1018",1992,"Swaziland","SWZ",150,1303.455,1653.633,7.172774,7.41073,2324,7.7510451179718,2385,7.77695440332244,2435,7.79770203551669,2478,7.81520706218909,2429,7.79523492900217,962,6.86901445066571,94.5,"3508.395975",3461.033806,3513.921969,55.25051749,6.790971371,54.46762382,90.73037026,3508.395975,3517.059412,8.16538052513767,3561.527308,8.17794475094482,3687.83893,8.21279590964465,3591.336315,8.18627964481149,7.97116746423006,7.98782339323075,8.01400148591687,7.99075728690683,8.16291422482996,7.95697967140088,1,0,0,6.86936781961648,8.66590108629717,8.64997430282519,8.66624230911892,1.04731934515769,8.66590108629717,5.15306035967258,2.87016910726799,6.8305718141917,8.70147615688994,8.67825195556126,8.7043812211987,1.01523104204783,8.70147615688994,5.14213128920393,2.63044902712477,6.78515817539793,8.73613753856066,8.70856698629479,8.73915684708727,0.951658261811758,8.73613753856066,5.047095797527,2.55567579831596,6.74746915022264,8.65903818030801,8.64000356896353,8.66153766160608,0.963174699452322,8.65903818030801,5.17439679028819,2.79116516916241,0,0,4.41599086497972,4.25153097867608,4.22443335524308,4.17374962767273,4.14993778997935,4.1150706269582,0,0,0,0,0,0,0,0,0,0,0,0.164459886303641,0.0506837275703536,0.0348671630211541,0.819780272021849,0.712950298052083
"1019",1993,"Swaziland","SWZ",150,1307.794,1659.138,7.176097,7.414053,2329,7.75319426988434,2324,7.7510451179718,2385,7.77695440332244,2435,7.79770203551669,2478,7.81520706218909,992,6.89972310728487,94.5,"3515.66315",3479.016121,3513.386618,60.06757675,7.178446895,51.23833923,98.33041218,3515.66315,3508.395975,8.16291422482996,3517.059412,8.16538052513767,3561.527308,8.17794475094482,3687.83893,8.21279590964465,7.95697967140088,7.97116746423006,7.98782339323075,8.01400148591687,8.16498344932356,7.95908885960395,1,0,0,6.89958196930118,8.65581187199487,8.65451738245379,8.65706643211925,1.18479029071951,8.65581187199487,5.17727904381432,2.80578175005504,6.86936781961648,8.66590108629717,8.64997430282519,8.66624230911892,1.04731934515769,8.66590108629717,5.15306035967258,2.87016910726799,6.8305718141917,8.70147615688994,8.67825195556126,8.7043812211987,1.01523104204783,8.70147615688994,5.14213128920393,2.63044902712477,6.78515817539793,8.73613753856066,8.70856698629479,8.73915684708727,0.951658261811758,8.73613753856066,5.047095797527,2.55567579831596,0,0,4.31849368310039,4.31541493067574,4.41599086497972,4.25153097867608,4.22443335524308,4.17374962767273,0,0,0,0,0,0,0,0,0,0,0,0.00307875242465183,0.164459886303641,0.0506837275703536,0.963174699452322,0.819780272021849
"1020",1994,"Swaziland","SWZ",150,1310.115,1662.082,7.17787,7.415826,2395,7.78113850984502,2329,7.75319426988434,2324,7.7510451179718,2385,7.77695440332244,2435,7.79770203551669,998,6.90575327631146,95.7,"3494.599298",3472.784667,3499.469739,53.19259605,7.412680815,51.43569295,100.4585245,3494.599298,3515.66315,8.16498344932356,3508.395975,8.16291422482996,3517.059412,8.16538052513767,3561.527308,8.17794475094482,7.95908885960395,7.95697967140088,7.97116746423006,7.98782339323075,8.15897399802356,7.97005625393429,1,0,0,6.9054025144009,8.68839818774389,8.68194971580032,8.6896983918837,1.26694788517743,8.68839818774389,5.093566140924,2.69665222358072,6.89958196930118,8.65581187199487,8.65451738245379,8.65706643211925,1.18479029071951,8.65581187199487,5.17727904381432,2.80578175005504,6.86936781961648,8.66590108629717,8.64997430282519,8.66624230911892,1.04731934515769,8.66590108629717,5.15306035967258,2.87016910726799,6.8305718141917,8.70147615688994,8.67825195556126,8.7043812211987,1.01523104204783,8.70147615688994,5.14213128920393,2.63044902712477,0,0,4.38636225386655,4.46305905216919,4.31849368310039,4.31541493067574,4.41599086497972,4.25153097867608,0,0,0,0,0,0,0,0,0,0,0,-0.0766967983026392,0.00307875242465183,0.164459886303641,0.951658261811758,0.963174699452322
