"","longname","shortnam","logmort0","risk","loggdp","campaign","source0","slave","latitude","neoeuro","asia","africa","other","edes1975","campaignsj","campaignsj2","mortnaval1","logmortnaval1","mortnaval2","logmortnaval2","mortjam","logmortjam","logmortcap250","logmortjam250","wandcafrica","malfal94","wacacontested","mortnaval2250","logmortnaval2250","mortnaval1250","logmortnaval1250"
"11","Cote d'Ivoire","CIV",6.50428819656372,7,7.44000005722046,1,0,0,0.0888999998569489,0,0,1,0,0,1,1,668,6.50428819656372,668,6.50428819656372,668,6.50428819656372,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"12","Cameroon","CMR",5.63478946685791,6.44999980926514,7.5,1,0,0,0.0666999965906143,0,0,1,0,0,1,1,280,5.63478946685791,280,5.63478946685791,280,5.63478946685791,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"13","Congo","COG",5.48063898086548,4.67999982833862,7.42000007629395,0,1,1,0.0110999997705221,0,0,1,0,0,0,0,240,5.48063898086548,240,5.48063898086548,240,5.48063898086548,5.48063898086548,5.48063898086548,1,0.949999988079071,0,240,5.48063898086548,240,5.48063898086548
"14","Colombia","COL",4.26268005371094,7.32000017166138,8.8100004196167,1,0,0,0.0443999990820885,0,0,0,0,25,1,1,NA,NA,93.25,4.5352840423584,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.146370008587837,0,93.25,4.5352840423584,NA,NA
"15","Costa Rica","CRI",4.35799026489258,7.05000019073486,8.78999996185303,1,0,0,0.111100003123283,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,62.2000007629395,4.13035488128662,4.35799026489258,4.13035488128662,0,0,0,93.25,4.5352840423584,NA,NA
"16","Dominican Re","DOM",4.86753463745117,6.17999982833862,8.35999965667725,0,0,0,0.211099997162819,0,0,0,0,25,0,0,130,4.86753463745117,130,4.86753463745117,130,4.86753463745117,4.86753463745117,4.86753463745117,0,0,0,130,4.86753463745117,130,4.86753463745117
"17","Algeria","DZA",4.35926961898804,6.5,8.39000034332275,1,1,0,0.311100006103516,0,0,1,0,0,1,1,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804,4.35926961898804,4.35926961898804,0,0,0,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804
"18","Ecuador","ECU",4.26268005371094,6.55000019073486,8.47000026702881,1,0,0,0.0221999995410442,0,0,0,0,30.0000019073486,1,1,NA,NA,93.25,4.5352840423584,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.118949994444847,0,93.25,4.5352840423584,NA,NA
"19","Egypt","EGY",4.21656227111816,6.76999998092651,7.94999980926514,1,1,0,0.300000011920929,0,0,1,0,0,1,1,67.8000030517578,4.21656227111816,67.8000030517578,4.21656227111816,67.8000030517578,4.21656227111816,4.21656227111816,4.21656227111816,0,0,0,67.8000030517578,4.21656227111816,67.8000030517578,4.21656227111816
"20","Ethiopia","ETH",3.25809645652771,5.73000001907349,6.1100001335144,1,1,0,0.0888999998569489,0,0,1,0,0,1,1,26,3.25809645652771,26,3.25809645652771,26,3.25809645652771,3.25809645652771,3.25809645652771,1,0.550999999046326,0,26,3.25809645652771,26,3.25809645652771
"21","Gabon","GAB",5.63478946685791,7.82000017166138,8.89999961853027,1,0,0,0.0110999997705221,0,0,1,0,0,1,1,280,5.63478946685791,280,5.63478946685791,280,5.63478946685791,5.52146100997925,5.52146100997925,1,0.940500020980835,1,250,5.52146100997925,250,5.52146100997925
"22","Ghana","GHA",6.50428819656372,6.26999998092651,7.36999988555908,1,1,0,0.0888999998569489,0,0,1,0,0,1,1,668,6.50428819656372,668,6.50428819656372,668,6.50428819656372,5.52146100997925,5.52146100997925,1,0.949999988079071,0,250,5.52146100997925,250,5.52146100997925
"23","Guinea","GIN",6.18001651763916,6.55000019073486,7.48999977111816,1,0,0,0.12219999730587,0,0,1,0,0,1,1,483,6.18001651763916,483,6.18001651763916,483,6.18001651763916,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"24","Gambia","GMB",7.29301786422729,8.27000045776367,7.26999998092651,1,1,0,0.147599995136261,0,0,1,0,0,1,1,1470,7.29301786422729,1470,7.29301786422729,1470,7.29301786422729,5.52146100997925,5.52146100997925,1,0.949999988079071,0,250,5.52146100997925,250,5.52146100997925
"25","Guatemala","GTM",4.26268005371094,5.1399998664856,8.28999996185303,1,0,0,0.170000001788139,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.00360000017099082,0,93.25,4.5352840423584,NA,NA
"26","Guyana","GUY",3.47134518623352,5.8899998664856,7.90000009536743,0,0,0,0.0555999986827374,0,0,0,0,2,0,0,32.1800003051758,3.47134518623352,32.1800003051758,3.47134518623352,32.1800003051758,3.47134518623352,3.47134518623352,3.47134518623352,0,0.495030015707016,0,32.1800003051758,3.47134518623352,32.1800003051758,3.47134518623352
"27","Hong Kong","HKG",2.70136117935181,8.14000034332275,10.0500001907349,0,0,0,0.24609999358654,0,1,0,0,0,1,1,14.8999996185303,2.70136117935181,14.8999996185303,2.70136117935181,14.8999996185303,2.70136117935181,2.70136117935181,2.70136117935181,0,0,0,14.8999996185303,2.70136117935181,14.8999996185303,2.70136117935181
"28","Honduras","HND",4.35799026489258,5.32000017166138,7.69000005722046,1,0,0,0.166700005531311,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,62.2000007629395,4.13035488128662,4.35799026489258,4.13035488128662,0,0.0120000001043081,0,93.25,4.5352840423584,NA,NA
"29","Haiti","HTI",4.86753463745117,3.73000001907349,7.15000009536743,0,0,0,0.211099997162819,0,0,0,0,0,0,0,130,4.86753463745117,130,4.86753463745117,130,4.86753463745117,4.86753463745117,4.86753463745117,0,1,0,130,4.86753463745117,130,4.86753463745117
"30","Indonesia","IDN",5.13579845428467,7.59000015258789,7.32999992370605,1,1,0,0.0555999986827374,0,1,0,0,0,1,1,170,5.13579845428467,170,5.13579845428467,170,5.13579845428467,5.13579845428467,5.13579845428467,0,0.178729996085167,0,170,5.13579845428467,170,5.13579845428467
"31","India","IND",3.88424062728882,8.27000045776367,7.32999992370605,0,1,0,0.222200006246567,0,1,0,0,0,0,0,48.6300010681152,3.88424062728882,48.6300010681152,3.88424062728882,48.6300010681152,3.88424062728882,3.88424062728882,3.88424062728882,0,0.235960006713867,0,48.6300010681152,3.88424062728882,48.6300010681152,3.88424062728882
"32","Jamaica","JAM",4.86753463745117,7.09000015258789,8.1899995803833,0,1,0,0.201700001955032,0,0,0,0,10,0,1,130,4.86753463745117,130,4.86753463745117,130,4.86753463745117,4.86753463745117,4.86753463745117,0,0,0,130,4.86753463745117,130,4.86753463745117
"33","Kenya","KEN",4.97673368453979,6.05000019073486,7.05999994277954,0,1,1,0.0110999997705221,0,0,1,0,0,0,0,145,4.97673368453979,145,4.97673368453979,145,4.97673368453979,4.97673368453979,4.97673368453979,1,0.797999978065491,0,145,4.97673368453979,145,4.97673368453979
"34","Sri Lanka","LKA",4.24563407897949,6.05000019073486,7.73000001907349,0,1,0,0.0777999982237816,0,1,0,0,0,0,1,69.8000030517578,4.24563407897949,69.8000030517578,4.24563407897949,69.8000030517578,4.24563407897949,4.24563407897949,4.24563407897949,0,0.137999996542931,0,69.8000030517578,4.24563407897949,69.8000030517578,4.24563407897949
"35","Morocco","MAR",4.35926961898804,7.09000015258789,8.03999996185303,1,0,0,0.355599999427795,0,0,1,0,1,1,1,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804,4.35926961898804,4.35926961898804,0,0,0,78.1999969482422,4.35926961898804,78.1999969482422,4.35926961898804
"36","Madagascar","MDG",6.28420877456665,4.44999980926514,6.84000015258789,1,1,0,0.222200006246567,0,0,1,0,0,1,1,536.039978027344,6.28420877456665,536.039978027344,6.28420877456665,536.039978027344,6.28420877456665,5.52146100997925,5.52146100997925,1,0.949999988079071,0,250,5.52146100997925,250,5.52146100997925
"37","Mexico","MEX",4.26268005371094,7.5,8.9399995803833,1,1,0,0.25560000538826,0,0,0,0,15.0000009536743,1,1,71,4.26268005371094,71,4.26268005371094,71,4.26268005371094,4.26268005371094,4.26268005371094,0,0.000419999996665865,0,71,4.26268005371094,71,4.26268005371094
"38","Mali","MLI",7.98616504669189,4,6.57000017166138,1,1,0,0.188899993896484,0,0,1,0,0,1,1,2940,7.98616504669189,2940,7.98616504669189,2940,7.98616504669189,5.52146100997925,5.52146100997925,1,0.940500020980835,0,250,5.52146100997925,250,5.52146100997925
"39","Malta","MLT",2.7911651134491,7.23000001907349,9.43000030517578,0,1,0,0.394400000572205,0,0,0,1,100,0,0,16.2999992370605,2.7911651134491,16.2999992370605,2.7911651134491,16.2999992370605,2.7911651134491,2.7911651134491,2.7911651134491,0,NA,0,16.2999992370605,2.7911651134491,16.2999992370605,2.7911651134491
"40","Malaysia","MYS",2.87356472015381,7.94999980926514,8.89000034332275,0,1,0,0.0255999993532896,0,1,0,0,0,0,1,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381,2.87356472015381,2.87356472015381,0,0.233309999108315,0,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381
"41","Niger","NER",5.99146461486816,5,6.73000001907349,1,0,0,0.177799999713898,0,0,1,0,0,1,1,400,5.99146461486816,400,5.99146461486816,400,5.99146461486816,5.52146100997925,5.52146100997925,1,0.940500020980835,1,250,5.52146100997925,250,5.52146100997925
"42","Nigeria","NGA",7.60290050506592,5.55000019073486,6.80999994277954,1,1,0,0.111100003123283,0,0,1,0,0,1,1,2004,7.60290050506592,2004,7.60290050506592,2004,7.60290050506592,5.52146100997925,5.52146100997925,1,0.949999988079071,0,250,5.52146100997925,250,5.52146100997925
"43","Nicaragua","NIC",5.09558916091919,5.23000001907349,7.53999996185303,1,0,0,0.144400000572205,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,130,4.86753463745117,5.09558916091919,4.86753463745117,0,0.0439999997615814,0,93.25,4.5352840423584,NA,NA
"44","New Zealand","NZL",2.14593124389648,9.72999954223633,9.76000022888184,0,1,0,0.455599993467331,1,0,0,1,91.6999969482422,1,1,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648,2.14593124389648,2.14593124389648,0,0,0,8.55000019073486,2.14593124389648,8.55000019073486,2.14593124389648
"45","Pakistan","PAK",3.61064767837524,6.05000019073486,7.34999990463257,1,0,0,0.333299994468689,0,1,0,0,0,1,1,36.9900016784668,3.61064767837524,36.9900016784668,3.61064767837524,36.9900016784668,3.61064767837524,3.61064767837524,3.61064767837524,0,0.537569999694824,0,36.9900016784668,3.61064767837524,36.9900016784668,3.61064767837524
"46","Panama","PAN",5.09558916091919,5.90999984741211,8.84000015258789,1,0,0,0.100000001490116,0,0,0,0,20,1,1,15.0699996948242,2.71270608901978,30.5,3.41772675514221,130,4.86753463745117,5.09558916091919,4.86753463745117,0,0.0800400003790855,0,30.5,3.41772675514221,15.0699996948242,2.71270608901978
"47","Peru","PER",4.26268005371094,5.76999998092651,8.39999961853027,1,0,0,0.111100003123283,0,0,0,0,30.0000019073486,1,1,15.0699996948242,2.71270608901978,30.5,3.41772675514221,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0.000500000023748726,0,30.5,3.41772675514221,15.0699996948242,2.71270608901978
"48","Paraguay","PRY",4.35799026489258,6.94999980926514,8.21000003814697,1,0,0,0.25560000538826,0,0,0,0,25,1,1,NA,NA,93.25,4.5352840423584,62.2000007629395,4.13035488128662,4.35799026489258,4.13035488128662,0,0,0,93.25,4.5352840423584,NA,NA
"49","Sudan","SDN",4.47960710525513,4,7.30999994277954,1,1,0,0.166700005531311,0,0,1,0,0,1,1,88.1999969482422,4.47960710525513,88.1999969482422,4.47960710525513,88.1999969482422,4.47960710525513,4.47960710525513,4.47960710525513,1,0.930999994277954,0,88.1999969482422,4.47960710525513,88.1999969482422,4.47960710525513
"50","Senegal","SEN",5.10388278961182,6,7.40000009536743,0,1,0,0.155599996447563,0,0,1,0,0,0,1,164.660003662109,5.10388278961182,164.660003662109,5.10388278961182,164.660003662109,5.10388278961182,5.10388278961182,5.10388278961182,1,0.949999988079071,0,164.660003662109,5.10388278961182,164.660003662109,5.10388278961182
"51","Singapore","SGP",2.87356472015381,9.31999969482422,10.1499996185303,0,0,0,0.0136000001803041,0,1,0,0,0,0,1,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381,2.87356472015381,2.87356472015381,0,0,0,17.7000007629395,2.87356472015381,17.7000007629395,2.87356472015381
"52","Sierra Leone","SLE",6.18001651763916,5.82000017166138,6.25,1,1,0,0.0922000035643578,0,0,1,0,0,1,1,483,6.18001651763916,483,6.18001651763916,483,6.18001651763916,5.52146100997925,5.52146100997925,1,0.949999988079071,0,250,5.52146100997925,250,5.52146100997925
"53","El Salvador","SLV",4.35799026489258,5,7.94999980926514,1,0,0,0.150000005960464,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,62.2000007629395,4.13035488128662,4.35799026489258,4.13035488128662,0,0,0,93.25,4.5352840423584,NA,NA
"54","Togo","TGO",6.50428819656372,6.90999984741211,7.21999979019165,1,0,0,0.0888999998569489,0,0,1,0,0,1,1,668,6.50428819656372,668,6.50428819656372,668,6.50428819656372,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"55","Trinidad and Tobago","TTO",4.44265127182007,7.44999980926514,8.77000045776367,0,1,0,0.12219999730587,0,0,0,0,40,0,1,85,4.44265127182007,85,4.44265127182007,85,4.44265127182007,4.44265127182007,4.44265127182007,0,0,0,85,4.44265127182007,85,4.44265127182007
"56","Tunisia","TUN",4.14313459396362,6.44999980926514,8.47999954223633,1,1,0,0.377799987792969,0,0,1,0,0,1,1,63,4.14313459396362,63,4.14313459396362,63,4.14313459396362,4.14313459396362,4.14313459396362,0,0,0,63,4.14313459396362,63,4.14313459396362
"57","Tanzania","TZA",4.97673368453979,6.6399998664856,6.25,0,0,1,0.0666999965906143,0,0,1,0,0,0,0,145,4.97673368453979,145,4.97673368453979,145,4.97673368453979,4.97673368453979,4.97673368453979,1,0.921500027179718,1,145,4.97673368453979,145,4.97673368453979
"58","Uganda","UGA",5.63478946685791,4.44999980926514,6.96999979019165,1,0,0,0.0110999997705221,0,0,1,0,0,1,1,280,5.63478946685791,280,5.63478946685791,280,5.63478946685791,5.52146100997925,5.52146100997925,1,0.949999988079071,1,250,5.52146100997925,250,5.52146100997925
"59","Uruguary","URY",4.26268005371094,7,9.02999973297119,1,0,0,0.366699993610382,0,0,0,0,90,1,1,NA,NA,93.25,4.5352840423584,56.5,4.03424072265625,4.26268005371094,4.03424072265625,0,0,0,93.25,4.5352840423584,NA,NA
"60","USA","USA",2.70805025100708,10,10.2200002670288,0,1,0,0.422199994325638,1,0,0,0,83.6000061035156,0,1,15,2.70805025100708,15,2.70805025100708,15,2.70805025100708,2.70805025100708,2.70805025100708,0,0,0,15,2.70805025100708,15,2.70805025100708
"61","Venezuela","VEN",4.35799026489258,7.1399998664856,9.06999969482422,1,0,0,0.0888999998569489,0,0,0,0,20,1,1,NA,NA,93.25,4.5352840423584,62.2000007629395,4.13035488128662,4.35799026489258,4.13035488128662,0,0.00704000005498528,0,93.25,4.5352840423584,NA,NA
"62","Vietnam","VNM",4.94164228439331,6.40999984741211,7.28000020980835,1,1,0,0.177799999713898,0,1,0,0,0,1,1,140,4.94164228439331,140,4.94164228439331,140,4.94164228439331,4.94164228439331,4.94164228439331,0,0.701099991798401,0,140,4.94164228439331,140,4.94164228439331
"63","South Africa","ZAF",2.74083995819092,6.8600001335144,8.89000034332275,0,1,0,0.322200000286102,0,0,1,0,16,0,1,15.5,2.74083995819092,15.5,2.74083995819092,15.5,2.74083995819092,2.74083995819092,2.74083995819092,0,0.104499995708466,0,15.5,2.74083995819092,15.5,2.74083995819092
"64","Zaire","ZAR",5.48063898086548,3.5,6.86999988555908,0,0,1,0,0,0,1,0,0,0,0,240,5.48063898086548,240,5.48063898086548,240,5.48063898086548,5.48063898086548,5.48063898086548,1,0.949999988079071,1,240,5.48063898086548,240,5.48063898086548
