"","Code","Country","Year","Gini","Polity","GDP","Industry","FuelExports","CommunistLegacy","Region","Expropriation","SettlerMortality","vdem_corr","militaryexpenditure","educationexpenditure","electricityaccess","netmigration"
"68","LUX","Luxembourg",1995,28.9,NA,37458,25.56,NA,0,1,NA,NA,0.0676977410912514,0.477909564971924,9.56604957580566,100,25001
"69","MKD","Macedonia, FYR",1995,29.5,6,5339.2,29.98,0.43,1,1,NA,NA,NA,NA,11.3177003860474,100,-40000
"70","MDG","Madagascar",1993,48.5,9,820.65,9.22,4.03,1,4,4.45,536.04,0.851024806499481,0.605143785476685,13.9893798828125,19.0350608825684,-7500
"71","MWI","Malawi",1997,49.3,6,558.57,19.65,0.08,0,4,NA,NA,0.659924864768982,0.631971657276154,21.5515804290771,10.8000001907349,-60000
"72","MYS","Malaysia",1995,50,3,7663.5,41.4,7,0,7,7.95,17.7,0.518582105636597,1.52886307239532,19.8480606079102,99.9985885620117,250000
"73","MLI","Mali",1994,54,7,700.07,18.66,NA,1,4,4,2940,0.763961553573608,2.3600800037384,18.1554908752441,37.5999984741211,-2e+05
"74","MRT","Mauritania",1995,38.9,-6,1683.1,31.35,4.01,0,4,NA,NA,0.835255801677704,3.76787734031677,9.33055019378662,39.5,25502
"75","MEX","Mexico",1996,53.7,4,7618.5,27.87,10.27,0,5,7.5,71,0.73729944229126,0.671678245067596,19.0990505218506,99,-3e+05
"76","MDA","Moldova",1997,38.6,7,1526.9,32.15,0.88,1,1,NA,NA,0.801355004310608,0.353941172361374,18.4918193817139,100,-14318
"77","MNG","Mongolia",1995,33.2,9,1481.5,27.56,NA,1,2,NA,NA,0.635922312736511,0.865609765052795,12.4268302917481,81.1916275024414,-15001
"78","MRC","Morocco",1995,39.5,-7,3202,32.9,2.2,0,4,7.09,78.2,0.578413903713226,3.22992444038391,NA,99.5860137939453,-257096
"79","MOZ","Mozambique",1996,39.4,6,687.68,15.42,2.06,1,4,NA,NA,0.573219537734985,0.992915987968445,18.9780902862549,24,-25000
"80","NAM","Namibia",1993,73.9,6,5650.8,27.9,NA,1,4,NA,NA,0.16716268658638,4.48315620422363,NA,50.7034301757812,-2236
"81","NPL","Nepal",1996,46.7,5,1180.6,22.75,NA,0,2,NA,NA,0.729276359081268,1.56373572349548,16.9896602630615,87.213623046875,-350000
"82","NLD","Netherlands",1995,32.2,10,24344,28.75,7.03,0,1,NA,NA,0.0236026849597692,1.14356863498688,11.9754295349121,100,80000
"83","NZL","New Zealand",1995,40.4,10,18181,26.99,1.6,0,7,9.73,8.55,0.0136249605566263,1.11170053482056,18.1254806518555,100,74403
"84","NIC","Nicaragua",1998,55.5,8,3049.8,27.31,0.55,1,5,5.23,163.3,0.776946783065796,0.776082634925842,NA,81.1631393432617,-106342
"85","NER","Niger",1995,50.6,8,738.62,17.27,0.61,0,4,5,400,0.716086745262146,2.24315714836121,18.5108604431152,16.6000003814697,-28497
"86","NGA","Nigeria",1996,48.3,-6,845.69,46.68,NA,0,4,5.55,2004,0.810621917247772,0.417636543512344,NA,52.5,-3e+05
"87","NOR","Norway",1996,35.4,10,29620,35.35,47.3,0,1,NA,NA,0.0098269395530224,1.50424993038177,17.0479793548584,100,140000
"88","PAK","Pakistan",1996,39.8,8,1788.6,23.8,0.97,0,2,6.05,36.99,0.74130916595459,3.41422581672669,13.1872797012329,93.5,-1071778
"89","PAN","Panama",1995,56.8,9,5391.9,17.74,3.17,0,5,5.91,163.3,0.547595679759979,0,NA,92.5548400878906,31448
"90","PNG","Papua New Guinea",1996,50.4,10,2476,36.88,NA,0,7,NA,NA,0.622701644897461,0.712357819080353,NA,22.1889343261719,-1001
"91","PRY","Paraguay",1995,62.1,7,4917,25.91,0.2,0,6,6.95,78.1,0.783451795578003,1.41679728031158,19.6342296600342,99.3315353393555,-82365
"92","PER","Peru",1994,47.4,1,4582.3,30.99,5.39,0,6,5.77,71,0.455391019582748,1.72581875324249,17.5981903076172,93.852180480957,-179540
"93","PHL","Philippines",1994,49.7,8,3731.5,32.06,1.52,0,7,NA,NA,0.675526678562164,1.13929235935211,NA,89.0800018310547,-650000
"94","POL","Poland",1995,32.1,9,8162.3,36.78,8.02,1,1,NA,NA,0.125073239207268,2.13953471183777,11.6255598068237,100,-50002
"95","PRT","Portugal",1995,37.4,10,15106,31.5,2.98,0,1,NA,NA,0.128058061003685,1.78797435760498,9.89673042297363,100,-30001
"96","ROM","Romania",1995,31,5,6209.6,42.74,7.91,1,1,NA,NA,0.487258762121201,1.45365786552429,9.23571968078613,100,-150000
"97","RUS","Russian Federation",1995,43.2,4,6354.5,36.96,NA,1,2,NA,NA,0.800738632678986,4.85134267807007,11.1467599868774,100,799998
"98","SEN","Senegal",1994,29.3,-1,1330.5,19.78,NA,0,4,6,164.66,0.284489840269089,1.57845962047577,23.7585601806641,60.5,-99996
"99","SGP","Singapore",1995,44.3,-2,19445,33.6,6.83,0,2,9.32,17.7,0.0120746279135346,3.16129207611084,19.9586601257324,100,298448
"100","SVK","Slovak Republic",1993,23,7,9319.9,34.91,4.27,1,1,NA,NA,0.367195069789886,1.12679350376129,10.2329502105713,100,4999
"101","SVN","Slovenia",1996,25.2,10,13559,36.79,1.2,1,1,NA,NA,0.286677330732346,0.930503010749817,11.2743196487427,100,6002
"102","ZAF","South Africa",1995,59,9,8893.3,34.81,8.95,0,4,6.86,15.5,0.299130707979202,1.09928143024445,18.0756702423096,85.5,3e+05
"103","ESP","Spain",1995,33.2,10,18548,30.09,1.63,0,1,NA,NA,0.0612721778452396,1.26799035072327,9.54004955291748,100,2e+05
"104","LKA","Sri Lanka",1996,37.6,5,2862.5,26.53,NA,0,7,6.05,69.8,0.476948201656342,2.55280470848083,10.9502601623535,93.8899002075195,-449999
"105","SWZ","Swaziland",1994,59.6,10,4131.4,31.43,NA,0,4,NA,NA,0.640342473983765,1.68706047534943,24.9452209472656,62.9945449829102,-9999
"106","SWE","Sweden",1995,25.3,10,22588,31.28,1.85,0,1,NA,NA,0.0100856628268957,1.0818932056427,15.2036800384522,100,2e+05
"107","CHE","Switzerland",1998,30.9,10,29208,31.43,0.15,0,1,NA,NA,0.0192093458026648,0.665693581104279,15.461799621582,100,250000
"108","TWN","Taiwan",1995,29.1,7,NA,NA,NA,0,2,NA,NA,0.315621584653854,NA,NA,NA,NA
"109","TZA","Tanzania",1993,38,-1,485.36,14.5,NA,1,4,6.64,145,0.614885985851288,1.13323605060577,17.2971000671387,18.5,-199999
"110","THA","Thailand",1994,45.9,9,6471.4,40.75,0.72,0,2,NA,NA,0.766080558300018,1.4482878446579,19.1429290771484,99.5999984741211,97222
"111","TTO","Trinidad and Tobago",1992,49.3,9,7259.2,44.96,47.87,0,7,7.45,85,0.161767914891243,0.779814541339874,NA,100,-4499
"112","TUR","Turkey",1994,48.4,8,5836.8,30.04,1.3,0,1,NA,NA,0.64460551738739,1.84793877601623,13.1325597763062,100,1525002
"113","TKM","Turkmenistan",1997,24.9,-9,2996.1,63.5,NA,1,2,NA,NA,0.938568472862244,NA,20.7955093383789,100,-25001
"114","UKR","Ukraine",1996,41.3,7,4271.6,42.68,NA,1,1,NA,NA,0.802843987941742,3.97325873374939,13.1213502883911,100,-1e+05
"115","GBR","United Kingdom",1995,31.5,10,30166,26.29,6.22,0,1,NA,NA,0.0695332437753677,1.88257527351379,13.8192501068115,100,9e+05
"116","USA","United States",1995,38.8,10,30166,26.29,1.75,0,5,10,15,0.0603117682039738,3.28963351249695,13.4518804550171,100,4500000
"117","URY","Uruguay",1995,42.8,10,8228.5,28.06,1.07,0,6,7,71,0.054668053984642,1.82058811187744,NA,99.7094802856445,-15000
"118","UZB","Uzbekistan",1993,33.3,-9,1335.3,27.8,NA,1,2,NA,NA,0.872441232204437,NA,NA,100,-44314
"119","VEN","Venezuela",1995,47.4,8,6127.5,41.27,76.65,0,6,7.14,78.1,0.893479943275452,0.941375970840454,NA,99.4607391357422,-60493
"120","VNM","Viet Nam",1998,37.3,-7,1540.5,28.76,NA,1,2,6.41,140,NA,2.36115574836731,18.515510559082,100,-2e+05
"121","YEM","Yemen, Republic of",1998,21.8,-2,760.12,31.97,91.85,1,3,NA,NA,0.90561056137085,5.04205226898193,NA,70.2139053344727,-150000
"122","YUG","Yugoslavia, FR",1995,28.4,-7,NA,NA,NA,1,1,NA,NA,0.698600113391876,1.94872319698334,9.19163036346436,99.9827423095703,-50000
"123","ZMB","Zambia",1996,54.8,6,771.83,35.76,3.26,0,4,NA,NA,0.368110507726669,1.7855486869812,NA,31.1000003814697,-40000
"124","ZWE","Zimbabwe",1995,73.1,-6,2602.5,29.08,1.03,0,4,NA,NA,0.7767573595047,2.3436291217804,30.0076198577881,33.7000007629395,-99998
