"","index","Cuzco","angertreat","anxietytreat","calmtreat","outvote1","outvote2","age","triste","feliz","enojado","asqueado","preocupado","con.miedo","con.placer","orgulloso","desesperado","risk","socioeconentusiasmo","socioeconenojo","socioeconpreocupacion","socioecontranquilidad","socioeconmiedo","socioeconns","corruptentusiasmo","corruptenojo","corruptpreocupacion","corrupttranquilidad","corruptmiedo","corruptns","pocketeconentusiasmo","pocketeconenojo","pocketeconpreocupacion","pocketecontranquilidad","pocketeconmiedo","pocketeconns","crimeentusiasmo","crimeenojo","crimepreocupacion","crimetranquilidad","crimemiedo","crimens","repentusiasmo","repenojo","reppreocupacion","reptranquilidad","repmiedo","repns","corruptfreq","corruptresp","crimefreq","crimeresp","unempfreq","unempresp","povertyfreq","povertyresp","edqual","edresp","govtcapac","govtcapacresp","participrepresent","leftright","diazleftright","hurtadoleftright","partyid","intefficacy","extefficacy","tvnews","newspaper","radionews","edlevel","classid","treatment","outsidervote","simpletreat"
"37",5,0,1,NA,NA,NA,1,27,0,0,1,0,1,1,0,0,0,50,0,0,0,0,1,0,0,0,1,0,0,0,-99,-99,-99,-99,-99,-99,0,0,1,0,0,0,0,1,0,0,0,0,3,2,4,2,3,3,3,3,4,3,3,2,1,3,4,2,8,1,1,1,1,1,8,2,"anger",0,1
"38",157,1,1,NA,NA,NA,1,26,0,0,0,0,1,0,0,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,3,2,3,1,4,2,4,1,2,2,2,7,1,5,8,1,3,1,3,2,7,2,"anger",0,1
"39",209,1,1,NA,NA,1,NA,27,1,0,0,0,1,0,0,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,4,2,6,6,6,8,3,2,2,4,2,8,2,"anger",0,1
"40",259,0,1,NA,NA,NA,1,48,0,0,1,1,0,0,0,0,0,50,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,3,3,3,3,3,3,4,3,2,2,1,4,1,2,7,1,3,1,2,3,8,3,"anger",0,1
"41",261,0,1,NA,NA,1,NA,41,0,0,0,0,1,0,0,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,4,3,2,2,2,2,3,1,3,2,2,6,6,4,9,1,2,1,1,2,6,1,"anger",0,1
"42",176,1,1,NA,NA,NA,1,39,0,0,1,0,1,1,0,0,1,52,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,2,3,3,4,3,3,2,6,1,2,2,2,7,7,7,9,3,3,2,4,4,7,2,"anger",0,1
"43",7,0,1,NA,NA,NA,1,43,0,1,0,0,0,0,0,0,0,53,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,3,3,3,2,3,3,6,3,2,3,1,3,4,3,9,1,2,2,1,1,8,2,"anger",0,1
"44",239,0,1,NA,NA,1,NA,23,0,0,0,1,0,0,0,0,0,55,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,2,1,3,2,3,3,6,3,3,2,1,4,3,3,9,2,3,1,1,2,7,2,"anger",0,1
"45",434,0,1,NA,NA,1,NA,23,0,0,0,1,0,0,0,0,0,55,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,2,1,3,2,3,3,6,3,3,2,1,4,3,3,9,2,3,1,1,2,7,2,"anger",0,1
"46",167,1,1,NA,NA,NA,1,70,0,1,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,4,3,3,3,4,3,3,3,3,1,2,6,6,1,6,3,4,1,2,1,2,2,"anger",0,1
